essay_id,prompt_name,rating,raw_response,timestamp
N10026X,career_options,,"It seems like you have a variety of interests and experiences, and you're considering a career similar to your father's as a traveler. Based on your background and interests, here are ten potential career options that might suit you:

```json
{
  ""career_options"": [
    {
      ""id"": 1,
      ""title"": ""Travel Salesperson"",
      ""description"": ""Traveling to different locations to sell products or services, similar to what your father does.""
    },
    {
      ""id"": 2,
      ""title"": ""Freelance Writer"",
      ""description"": ""Writing articles, blogs, or other content while traveling.""
    },
    {
      ""id"": 3,
      ""title"": ""Tour Guide"",
      ""description"": ""Leading tours and sharing knowledge about different places.""
    },
    {
      ""id"": 4,
      ""title"": ""Event Coordinator"",
      ""description"": ""Organizing events and traveling to different locations for",2025-05-24T11:45:15.598390
N10054B,career_options,,"Based on the information provided, here are ten potential career options for an athlete who trains extensively and has various interests:

```json
{
  ""career_options"": [
    ""Professional Athlete"",
    ""Sports Coach"",
    ""Sports Commentator"",
    ""Sports Journalist"",
    ""Personal Trainer"",
    ""Fitness Instructor"",
    ""Sports Psychologist"",
    ""Sports Nutritionist"",
    ""Sports Equipment Designer"",
    ""Sports Administrator""
  ]
}
```

The person has 10 good career options based on the JSON provided. These options are derived from the individual's athletic background, training regimen, and interests in sports and fitness. The career options range from directly related to sports and athletics to more specialized roles that can leverage their skills and knowledge. 

If you need more specific advice or a different number of career options, please let me know! I can adjust the list accordingly. 

How many good career options does this person have? 
The person has 10 good",2025-05-24T11:45:15.598400
N10094K,career_options,,"```json
{
  ""career_options"": [
    ""Pilot with B.O.A.C."",
    ""Commercial Pilot"",
    ""Flight Instructor"",
    ""Airline Manager"",
    ""Aerospace Engineer"",
    ""Aviation Safety Inspector"",
    ""Air Traffic Controller"",
    ""Private Pilot"",
    ""Aircraft Mechanic"",
    ""Tour Guide (using the small plane)""
  ]
}
```

Based on the information provided, this person has 10 good career options. 

Here's a summary of the career options:
1. Pilot with B.O.A.C.
2. Commercial Pilot
3. Flight Instructor
4. Airline Manager
5. Aerospace Engineer
6. Aviation Safety Inspector
7. Air Traffic Controller
8. Private Pilot
9. Aircraft Mechanic
10. Tour Guide (using the small plane) 

These options are derived from the person's current job as a pilot and their interest in aviation and flying. The person also has",2025-05-24T11:45:15.598401
N10134A,career_options,,"```json
{
  ""career_options"": [
    ""Bus Driver"",
    ""Lorry Driver"",
    ""Librarian"",
    ""Gardener"",
    ""Florist"",
    ""Greenhouse Manager"",
    ""News Anchor"",
    ""Film Critic"",
    ""Football Player"",
    ""Park Ranger""
  ]
}
```

Based on the text provided, there are two specific career options mentioned directly: Bus Driver and Lorry Driver. However, considering the interests and activities described, I have extrapolated additional career options that align with the hobbies and preferences mentioned. Here are 10 potential career options:

1. Bus Driver
2. Lorry Driver
3. Librarian (given the frequent visits to the library)
4. Gardener (given the love for gardening)
5. Florist (given the interest in flowers and plants)
6. Greenhouse Manager (given the interest in maintaining a greenhouse)
7. News Anchor (given the interest in watching the",2025-05-24T11:45:15.598402
N10165H,career_options,,"```json
{
  ""career_options"": [
    ""Continue teaching riding lessons and expand your business."",
    ""Become a professional horse trainer for competition horses."",
    ""Open a full-service stable offering boarding, training, and lessons."",
    ""Write a book or blog about horse care and riding techniques."",
    ""Start an online course or video series on horse riding and care."",
    ""Become a riding instructor at a local equestrian center or school."",
    ""Offer specialized riding lessons for specific disciplines (e.g., dressage, jumping)."",
    ""Start a horse rescue and rehabilitation center."",
    ""Teach horse care and riding at a therapeutic riding center."",
    ""Consult with horse owners on horse care, training, and riding techniques.""
  ]
}
```

Based on the JSON provided, there are 10 good career options available. 

To answer your question directly: **You have 10 good career options.** 

Would you like more information on any of",2025-05-24T11:45:15.598403
N10192L,career_options,,"```json
{
  ""career_options"": [
    ""Childcare Worker"",
    ""Social Worker"",
    ""Nanny"",
    ""Daycare Center Manager"",
    ""Early Childhood Educator"",
    ""Adoption Specialist"",
    ""Foster Care Worker"",
    ""Family Counselor"",
    ""Volunteer Coordinator"",
    ""Community Outreach Worker""
  ]
}
```

Based on the provided text, it seems you are interested in careers that involve looking after children, particularly those who may not have a stable home environment. Here are 10 potential career options that align with your interests:

1. **Childcare Worker**: Provides care for children when parents are at work or away.
2. **Social Worker**: Helps individuals and families facing challenges, including those related to housing and child welfare.
3. **Nanny**: Provides in-home care for children, often living with the family.
4. **Daycare Center Manager**: Oversees the operations of a daycare center, ensuring the",2025-05-24T11:45:15.598404
N10221Y,career_options,,"Based on the information provided, here is a JSON response with 10 potential career options for you:

```json
{
  ""career_options"": [
    {
      ""id"": 1,
      ""title"": ""School Principal"",
      ""description"": ""Lead and manage a school, overseeing teachers and students.""
    },
    {
      ""id"": 2,
      ""title"": ""Educational Consultant"",
      ""description"": ""Provide advice and guidance to schools and educational institutions.""
    },
    {
      ""id"": 3,
      ""title"": ""Curriculum Developer"",
      ""description"": ""Design and create educational materials and programs.""
    },
    {
      ""id"": 4,
      ""title"": ""Teacher Trainer"",
      ""description"": ""Train and mentor new teachers to improve their skills.""
    },
    {
      ""id"": 5,
      ""title"": ""Education Policy Analyst"",
      ""description"": ""Analyze and develop policies to improve the",2025-05-24T11:45:15.598406
N10250D,career_options,,"The text provided describes a detailed vision for the future, particularly focusing on a career as a hairdresser. Based on the information given, here are 10 potential career options that align with the aspirations and interests expressed:

```json
{
  ""career_options"": [
    ""Hairdresser"",
    ""Air Hostess"",
    ""Shop Manager"",
    ""Pet Groomer"",
    ""Fashion Designer"",
    ""Beauty Consultant"",
    ""Retail Salesperson"",
    ""Customer Service Representative"",
    ""Event Planner"",
    ""Interior Decorator""
  ]
}
```

The text primarily focuses on the dream of becoming a hairdresser, with a secondary interest in being an air hostess. Other career options are inferred based on the interests and skills that might be relevant to the described lifestyle and aspirations. 

To answer your question: The person has at least 10 good career options based on the information provided. However, the primary focus is on becoming a hairdresser",2025-05-24T11:45:15.598406
N10293Q,career_options,,"Based on the information provided, here is a JSON response with 10 potential career options for the shopkeeper:

```json
{
  ""career_options"": [
    {
      ""id"": 1,
      ""title"": ""Shopkeeper"",
      ""description"": ""Continue running the current shop, potentially expanding the business.""
    },
    {
      ""id"": 2,
      ""title"": ""Retail Manager"",
      ""description"": ""Transition into managing a larger retail store or chain.""
    },
    {
      ""id"": 3,
      ""title"": ""Small Business Owner"",
      ""description"": ""Start a new small business venture, possibly in a related field.""
    },
    {
      ""id"": 4,
      ""title"": ""Freelance Baker"",
      ""description"": ""Utilize baking skills to offer custom pastries and desserts.""
    },
    {
      ""id"": 5,
      ""title"": ""Tour Guide"",
      ""description"":",2025-05-24T11:45:15.598408
N10301X,career_options,,"Based on the information provided, here are ten potential career options for you:

```json
{
  ""career_options"": [
    {
      ""option"": 1,
      ""career"": ""Home Economics Teacher"",
      ""description"": ""Continue teaching at the secondary school level, focusing on home economics subjects.""
    },
    {
      ""option"": 2,
      ""career"": ""Fashion Designer"",
      ""description"": ""Use your sewing and design skills to create unique clothing lines.""
    },
    {
      ""option"": 3,
      ""career"": ""Culinary Instructor"",
      ""description"": ""Teach cooking classes at a culinary school or community center.""
    },
    {
      ""option"": 4,
      ""career"": ""Interior Decorator"",
      ""description"": ""Apply your knowledge of textiles and design to help clients decorate their homes.""
    },
    {
      ""option"": 5,
      ""career"": ""Crafts Instructor"",
      ""description"":",2025-05-24T11:45:15.598409
