essay_id,prompt_name,rating,raw_response,timestamp
N10001N,ladder_standard_improved,5,"{""class_rating"": 5}",2025-05-24T16:21:38.775426
N10002P,ladder_standard_improved,7,"{""class_rating"": 7}",2025-05-24T16:21:38.775436
N10003Q,ladder_standard_improved,5,"{""class_rating"": 5}",2025-05-24T16:21:38.775439
N10004R,ladder_standard_improved,3,"{""class_rating"": 3}",2025-05-24T16:21:38.775442
N10006T,ladder_standard_improved,2,"{""class_rating"": 2}",2025-05-24T16:21:38.775444
N10010P,ladder_standard_improved,5,"{""class_rating"": 5}",2025-05-24T16:21:38.775446
N10011Q,ladder_standard_improved,5,"{""class_rating"": 5}",2025-05-24T16:21:38.775448
N10013S,ladder_standard_improved,5,"{""class_rating"": 5}",2025-05-24T16:21:38.775450
N10014T,ladder_standard_improved,4,"{""class_rating"": 4}",2025-05-24T16:21:38.775452
N10015U,ladder_standard_improved,3,"{""class_rating"": 3}",2025-05-24T16:21:38.775454
N10016V,ladder_standard_improved,4,"{""class_rating"": 4}",2025-05-24T16:21:38.775456
N10018X,ladder_standard_improved,4,"{""class_rating"": 4}",2025-05-24T16:21:38.775458
N10020R,ladder_standard_improved,3,"{""class_rating"": 3}",2025-05-24T16:21:38.775460
N10026X,ladder_standard_improved,3,"{""class_rating"": 3}",2025-05-24T16:21:38.775462
N10027Y,ladder_standard_improved,5,"{""class_rating"": 5}",2025-05-24T16:21:38.775466
N10031U,ladder_standard_improved,3,"{""class_rating"": 3}",2025-05-24T16:21:38.775468
N10034X,ladder_standard_improved,3,"{""class_rating"": 3}",2025-05-24T16:21:38.775470
N10035Y,ladder_standard_improved,3,"{""class_rating"": 3}",2025-05-24T16:21:38.775472
N10036Z,ladder_standard_improved,5,"{""class_rating"": 5}",2025-05-24T16:21:38.775474
N10037A,ladder_standard_improved,5,"{""class_rating"": 5}",2025-05-24T16:21:38.775476
N10039C,ladder_standard_improved,7,"{""class_rating"": 7}",2025-05-24T16:21:38.775478
N10041W,ladder_standard_improved,7,"{""class_rating"": 7}",2025-05-24T16:21:38.775480
N10042X,ladder_standard_improved,7,"{""class_rating"": 7}",2025-05-24T16:21:38.775482
N10049E,ladder_standard_improved,5,"{""class_rating"": 5}",2025-05-24T16:21:38.775484
N10052Z,ladder_standard_improved,5,"{""class_rating"": 5}",2025-05-24T16:21:38.775487
N10053A,ladder_standard_improved,5,"{
  ""class_rating"": 5
}",2025-05-24T16:21:38.775490
N10054B,ladder_standard_improved,7,"{""class_rating"": 7}",2025-05-24T16:21:38.775492
N10056D,ladder_standard_improved,6,"{""class_rating"": 6}",2025-05-24T16:21:38.775494
N10058F,ladder_standard_improved,5,"{""class_rating"": 5}",2025-05-24T16:21:38.775496
N10059G,ladder_standard_improved,3,"{""class_rating"": 3}",2025-05-24T16:21:38.775498
N10060Z,ladder_standard_improved,5,"{""class_rating"": 5}",2025-05-24T16:21:38.775499
N10063C,ladder_standard_improved,6,"{""class_rating"": 6}",2025-05-24T16:21:38.775501
N10065E,ladder_standard_improved,4,"{""class_rating"": 4}",2025-05-24T16:21:38.775503
N10066F,ladder_standard_improved,5,"{""class_rating"": 5}",2025-05-24T16:21:38.775507
N10068H,ladder_standard_improved,3,"{""class_rating"": 3}",2025-05-24T16:21:38.775509
N10070B,ladder_standard_improved,4,"{""class_rating"": 4}",2025-05-24T16:21:38.775511
N10072D,ladder_standard_improved,5,"{""class_rating"": 5}",2025-05-24T16:21:38.775513
N10075G,ladder_standard_improved,4,"{""class_rating"": 4}",2025-05-24T16:21:38.775515
N10080D,ladder_standard_improved,7,"{""class_rating"": 7}",2025-05-24T16:21:38.775517
N10081E,ladder_standard_improved,3,"{""class_rating"": 3}",2025-05-24T16:21:38.775519
N10082F,ladder_standard_improved,4,"{""class_rating"": 4}",2025-05-24T16:21:38.775521
N10085J,ladder_standard_improved,3,"{""class_rating"": 3}",2025-05-24T16:21:38.775523
N10086K,ladder_standard_improved,7,"{""class_rating"": 7}",2025-05-24T16:21:38.775525
N10087L,ladder_standard_improved,3,"{""class_rating"": 3}",2025-05-24T16:21:38.775528
N10088M,ladder_standard_improved,4,"{""class_rating"": 4}",2025-05-24T16:21:38.775530
N10093J,ladder_standard_improved,5,"{""class_rating"": 5}",2025-05-24T16:21:38.775531
N10094K,ladder_standard_improved,5,"{""class_rating"": 5}",2025-05-24T16:21:38.775533
N10095L,ladder_standard_improved,4,"{""class_rating"": 4}",2025-05-24T16:21:38.775535
N10096M,ladder_standard_improved,4,"{""class_rating"": 4}",2025-05-24T16:21:38.775537
N10101R,ladder_standard_improved,3,"{""class_rating"": 3}",2025-05-24T16:21:38.775539
N10102S,ladder_standard_improved,5,"{""class_rating"": 5}",2025-05-24T16:21:38.775541
N10108Y,ladder_standard_improved,5,"{""class_rating"": 5}",2025-05-24T16:21:38.775543
N10109Z,ladder_standard_improved,5,"{""class_rating"": 5}",2025-05-24T16:21:38.775545
N10110S,ladder_standard_improved,3,"{""class_rating"": 3}",2025-05-24T16:21:38.775547
N10112U,ladder_standard_improved,4,"{
  ""class_rating"": 4
}",2025-05-24T16:21:38.775549
N10114W,ladder_standard_improved,5,"{""class_rating"": 5}",2025-05-24T16:21:38.775551
N10117Z,ladder_standard_improved,4,"{""class_rating"": 4}",2025-05-24T16:21:38.775552
N10122W,ladder_standard_improved,3,"{""class_rating"": 3}",2025-05-24T16:21:38.775554
N10125Z,ladder_standard_improved,5,"{""class_rating"": 5}",2025-05-24T16:21:38.775556
N10128C,ladder_standard_improved,5,"{""class_rating"": 5}",2025-05-24T16:21:38.775558
N10131X,ladder_standard_improved,3,"{""class_rating"": 3}",2025-05-24T16:21:38.775560
N10133Z,ladder_standard_improved,5,"{""class_rating"": 5}",2025-05-24T16:21:38.775562
N10134A,ladder_standard_improved,5,"{
  ""class_rating"": 5
}",2025-05-24T16:21:38.775564
N10136C,ladder_standard_improved,5,"{""class_rating"": 5}",2025-05-24T16:21:38.775566
N10137D,ladder_standard_improved,4,"{""class_rating"": 4}",2025-05-24T16:21:38.775568
N10138E,ladder_standard_improved,5,"{""class_rating"": 5}",2025-05-24T16:21:38.775573
N10139F,ladder_standard_improved,4,"{
  ""class_rating"": 4
}",2025-05-24T16:21:38.775575
N10141Z,ladder_standard_improved,7,"{""class_rating"": 7}",2025-05-24T16:21:38.775578
N10142A,ladder_standard_improved,4,"{""class_rating"": 4}",2025-05-24T16:21:38.775580
N10143B,ladder_standard_improved,5,"{
  ""class_rating"": 5
}",2025-05-24T16:21:38.775582
N10144C,ladder_standard_improved,5,"{""class_rating"": 5}",2025-05-24T16:21:38.775584
N10146E,ladder_standard_improved,4,"{""class_rating"": 4}",2025-05-24T16:21:38.775586
N10148G,ladder_standard_improved,3,"{""class_rating"": 3}",2025-05-24T16:21:38.775588
N10150A,ladder_standard_improved,4,"{""class_rating"": 4}",2025-05-24T16:21:38.775590
N10151B,ladder_standard_improved,4,"{""class_rating"": 4}",2025-05-24T16:21:38.775592
N10152C,ladder_standard_improved,3,"{""class_rating"": 3}",2025-05-24T16:21:38.775593
N10154E,ladder_standard_improved,3,"{""class_rating"": 3}",2025-05-24T16:21:38.775595
N10155F,ladder_standard_improved,7,"{""class_rating"": 7}",2025-05-24T16:21:38.775598
N10156G,ladder_standard_improved,6,"{""class_rating"": 6}",2025-05-24T16:21:38.775600
N10157H,ladder_standard_improved,3,"{""class_rating"": 3}",2025-05-24T16:21:38.775602
N10159K,ladder_standard_improved,7,"{""class_rating"": 7}",2025-05-24T16:21:38.775604
N10163F,ladder_standard_improved,4,"{""class_rating"": 4}",2025-05-24T16:21:38.775605
N10164G,ladder_standard_improved,7,"{""class_rating"": 7}",2025-05-24T16:21:38.775607
N10165H,ladder_standard_improved,7,"{
  ""class_rating"": 7
}",2025-05-24T16:21:38.775609
N10166J,ladder_standard_improved,4,"{""class_rating"": 4}",2025-05-24T16:21:38.775611
N10172G,ladder_standard_improved,5,"{""class_rating"": 5}",2025-05-24T16:21:38.775613
N10174J,ladder_standard_improved,7,"{""class_rating"": 7}",2025-05-24T16:21:38.775614
N10177M,ladder_standard_improved,4,"{""class_rating"": 4}",2025-05-24T16:21:38.775616
N10180G,ladder_standard_improved,4,"{""class_rating"": 4}",2025-05-24T16:21:38.775618
N10181H,ladder_standard_improved,3,"{""class_rating"": 3}",2025-05-24T16:21:38.775620
N10182J,ladder_standard_improved,3,"{""class_rating"": 3}",2025-05-24T16:21:38.775623
N10184L,ladder_standard_improved,5,"{""class_rating"": 5}",2025-05-24T16:21:38.775625
N10186N,ladder_standard_improved,4,"{""class_rating"": 4}",2025-05-24T16:21:38.775627
N10187P,ladder_standard_improved,3,"{
  ""class_rating"": 3
}",2025-05-24T16:21:38.775630
N10192L,ladder_standard_improved,3,"{""class_rating"": 3}",2025-05-24T16:21:38.775632
N10200T,ladder_standard_improved,3,"{
  ""class_rating"": 3
}",2025-05-24T16:21:38.775633
N10203W,ladder_standard_improved,4,"{""class_rating"": 4}",2025-05-24T16:21:38.775635
N10204X,ladder_standard_improved,5,"{""class_rating"": 5}",2025-05-24T16:21:38.775637
N10206Z,ladder_standard_improved,5,"{
  ""class_rating"": 5
}",2025-05-24T16:21:38.775639
N10209C,ladder_standard_improved,3,"{""class_rating"": 3}",2025-05-24T16:21:38.775641
N10211W,ladder_standard_improved,5,"{
  ""class_rating"": 5
}",2025-05-24T16:22:01.231091
N10212X,ladder_standard_improved,4,"{""class_rating"": 4}",2025-05-24T16:22:01.231103
N10213Y,ladder_standard_improved,5,"{""class_rating"": 5}",2025-05-24T16:22:01.231105
N10214Z,ladder_standard_improved,5,"{""class_rating"": 5}",2025-05-24T16:22:01.231108
N10218D,ladder_standard_improved,3,"{""class_rating"": 3}",2025-05-24T16:22:01.231110
N10220X,ladder_standard_improved,6,"{""class_rating"": 6}",2025-05-24T16:22:01.231112
N10221Y,ladder_standard_improved,5,"{
  ""class_rating"": 5
}",2025-05-24T16:22:01.231114
